[32mOPENAIRCN_DIR    = /home/airbustx2w/openair-cn[00m
[sudo] password for airbustx2w: 
Sorry, try again.
[sudo] password for airbustx2w: 
Initializing OAI Logging
Initializing MSC logs
Initializing MSC logs Done
000069 00000:492023 7F02614F3700 TRACE NAS-ES penair-cn/src/nas/esm/esm_main.c:0093         Leaving esm_main_initialize()
000070 00000:492027 7F02614F3700 TRACE NAS-EM 2w/openair-cn/src/nas/nas_proc.c:0093      Leaving nas_proc_initialize()
000071 00000:492031 7F02614F3700 TRACE NAS    openair-cn/src/nas/nas_network.c:0082    Leaving nas_network_initialize()
000072 00000:492065 7F02614F3700 DEBUG NAS    penair-cn/src/nas/nas_mme_task.c:0156    Initializing NAS task interface: DONE
000073 00000:492077 7F02614F3700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0760    Initializing SCTP task interface
000074 00000:492105 7F02614F3700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0774    Initializing SCTP task interface: DONE
000075 00000:492111 7F02614F3700 DEBUG UDP    /src/udp/udp_primitives_server.c:0356    Initializing UDP task interface
000076 00000:492143 7F02614F3700 DEBUG UDP    /src/udp/udp_primitives_server.c:0364    Initializing UDP task interface: DONE
000077 00000:492153 7F02614F3700 DEBUG S11    penair-cn/src/s11/s11_mme_task.c:0266    Initializing S11 interface
000078 00000:492280 7F02614F3700 DEBUG S11    penair-cn/src/s11/s11_mme_task.c:0249    Tx UDP_INIT IP addr 127.0.11.1:2123
000079 00000:492294 7F02614F3700 DEBUG S11    penair-cn/src/s11/s11_mme_task.c:0313    Initializing S11 interface: DONE
000081 00000:492302 7F02614F3700 DEBUG S1AP   w/openair-cn/src/s1ap/s1ap_mme.c:0231    Initializing S1AP interface
000080 00000:492302 7F0259CEA700 DEBUG UDP    /src/udp/udp_primitives_server.c:0126    Creating new listen socket on address 127.0.11.1 and port 2123
000082 00000:492312 7F02614F3700 DEBUG S1AP   w/openair-cn/src/s1ap/s1ap_mme.c:0237    ASN1C version 924
000083 00000:492317 7F02614F3700 DEBUG S1AP   w/openair-cn/src/s1ap/s1ap_mme.c:0240    S1AP Release v10.5
000084 00000:492332 7F0259CEA700 DEBUG UDP    /src/udp/udp_primitives_server.c:0171    Inserting new descriptor for task 6, sd 33
000085 00000:492341 7F0259CEA700 DEBUG UDP    /src/udp/udp_primitives_server.c:0187    Received 1 events
000086 00000:493406 7F02614F3700 DEBUG S1AP   w/openair-cn/src/s1ap/s1ap_mme.c:0262    Initializing S1AP interface: DONE
000087 00000:493409 7F025A4EB700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0632    Received SCTP_INIT_MSG
000088 00000:493414 7F02614F3700 TRACE MME-AP ir-cn/src/mme_app/mme_app_main.c:0220    Entering mme_app_init()
000089 00000:493416 7F025A4EB700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0319    Creating new listen socket on port 36412 with
000090 00000:493421 7F025A4EB700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0324    ipv4 addresses:
000091 00000:493427 7F025A4EB700 DEBUG SCTP   rc/sctp/sctp_primitives_server.c:0327    	- 192.168.12.62
000092 00000:494682 7F02614F3700 DEBUG MME-AP ir-cn/src/mme_app/mme_app_main.c:0258      Initializing MME applicative layer: DONE
000093 00000:494689 7F02614F3700 TRACE MME-AP ir-cn/src/mme_app/mme_app_main.c:0259    Leaving mme_app_init() (rc=0)
000094 00000:494695 7F02614F3700 DEBUG S6A    2w/openair-cn/src/s6a/s6a_task.c:0152    Initializing S6a interface
000095 00000:494706 7F02614F3700 DEBUG S6A    2w/openair-cn/src/s6a/s6a_task.c:0175    Initializing freeDiameter log handler done
000096 00000:494711 7F02614F3700 DEBUG S6A    2w/openair-cn/src/s6a/s6a_task.c:0181    Initializing freeDiameter core...
000097 00000:494753 7F02614F3700 ERROR S6A    2w/openair-cn/src/s6a/s6a_task.c:0080    libfdproto '1.2.0' initialized.
000098 00000:494768 7F02614F3700 ERROR S6A    2w/openair-cn/src/s6a/s6a_task.c:0080    libgnutls '3.4.10' initialized.
000099 00000:495024 7F02614F3700 ALERT S6A    2w/openair-cn/src/s6a/s6a_task.c:0080    Core state: 0 -> 1
000100 00000:495032 7F02614F3700 ERROR S6A    2w/openair-cn/src/s6a/s6a_task.c:0080    libfdcore '1.2.0' initialized.
000101 00000:495037 7F02614F3700 DEBUG S6A    2w/openair-cn/src/s6a/s6a_task.c:0187    Initializing freeDiameter core done
000102 00000:495053 7F02614F3700 DEBUG S6A    2w/openair-cn/src/s6a/s6a_task.c:0191    Default ext path: /usr/local/lib/freeDiameter
000103 00000:495072 7F02614F3700 ALERT S6A    2w/openair-cn/src/s6a/s6a_task.c:0080    Parsing configuration file: /usr/local/etc/oai/freeDiameter/mme_fd.conf
